LABEL;question;answer;context
;What is the name of the branch office of Komercijalna Banka?;Banja Luka;a,PrishtinaNLB Banka,SkopjeKomercijalnaBanka, BeogradNLB Banka,Banja LukaKomercijalnaBanka, Banja LukaNLB Banka,BeogradNLB Banka,Sarajevo
;What is not included in total number of NLB Group active clients due to different definitions?;Assets under management;umber of NLB Group active clients due to different definitions.iiiAssets under management.ivMarket share of assets under management in mutual funds.vMa
;What is the market share of assets under management in mutual funds?;Market share in the Republic of Srpska;nt.ivMarket share of assets under management in mutual funds.vMarket share in the Republic of Srpska as at 30 September 2020.
;As at 30 September 2020, what is market share in the Republic of Srpska?;Assets under management;umber of NLB Group active clients due to different definitions.iiiAssets under management.ivMarket share of assets under management in mutual funds.vMa
;What was the market share in the Federation of BiH as of 30 September 2020?;vi;viMarket share in the Federation of BiH as at 30 September 2020.vii
;What was market share as of the Federation?;Market share in the Federation of BiH as at 30 September 2020;viMarket share in the Federation of BiH as at 30 September 2020.viiMarket share as at 30 September 2020.viiiData from interna
;Data from internal reports of Komercijalna Banka?;viMarket share in the Federation of BiH;viMarket share in the Federation of BiH as at 30 September 2020.viiMarket share as at 30 September 2020.
;Market position in 2020 Macroeconomic indicators for 2020 Branches i Active clients ii Total assets in Euro million Net loans to customers in EUR million Result after tax in USD million Deposits from customers In EUR millions Market share by total assets GDP real growth in percent Unemployment rate in percent Average inflation in% Current account of the balance of payments as a % of GDP;NLBGroupNLB,;dget deficit/surplusas a % of GDP--- ------ 50 ------NLBGroupNLB,LjubljanaSloveniaNorthMacedonia Bosnia and Herzegovina Kosovo Serbi
;What percentage of GDP is the current account of the balance of payments?;as a %;Average inflation in %Current account of the balanceof payments as a % of GDPBudget deficit/surplusas a % of GDP--- ------ 50 -
;What percentage is the budget deficit/surplus?;Current account of the balanceof payments; real growth in %Unemployment rate in %Average inflation in %Current account of the balanceof payments as a % of GDPBudget deficit/surplusas a % of GDP--- ----
ok;What is the largest banking and financial group in Slovenia?;The NLB Group;RI Standards 2021 RoadmapNLB Group business modeland value creationThe NLB Group is the largest banking and financial group in Slovenia witha strateg
;How many residents does the NLB Group have?;17 million;ts of SE Europe. It is present on marketswith a population of around 17 million residents in total. The Group consistsof NLB the Bank as the paren
;How many people live in Slovenia?;17 million;ts of SE Europe. It is present on marketswith a population of around 17 million residents in total. The Group consistsof NLB the Bank as the paren
ok;How many subsidiary banks are in SE Europe?;six;e Group consistsof NLB the Bank as the parent company in Slovenia, six subsidiary banks inSE Europe, several companies providing other serv
;What is the name of the parent company of NLB?;the Bank;n of around 17 million residents in total. The Group consistsof NLB the Bank as the parent company in Slovenia, six subsidiary banks inSE Europe
;How many non-core companies are in the process of controlled liquidation?;a limited number;rvices asset management,insurance, real estate management, etc.and a limited number of non-corecompanies which are in the process of controlled liquidat
OK;What percentage of the Bank is owned by the Republic of Slovenia?;25%;The Bank is 25%owned by the Republic of Slovenia. The key strategic areas of operati
ok;What are the key strategic areas of operations of the Group in 2020?;Retail Banking in Slovenia, Corporate Bankingin Slovenia, and Strategic Foreign Markets;ey strategic areas of operations of theGroup in 2020 continued to be Retail Banking in Slovenia, Corporate Bankingin Slovenia, and Strategic Foreign Markets.In financing, the Group follows carefully drafted principles, guidel
;How does the Group finance activities?;The Group does not finance activities that include illegalactivities;oup follows carefully drafted principles, guidelines,and procedures. The Group does not finance activities that include illegalactivities, or the production and trade in weapons, political parties, political
